"Confirmed date","Country","HPAI strain","WOAH Classification","Cases"
2021-12-09,"Romania","H5N1","Wild birds",1
2021-12-09,"Northern Ireland","H5N1","Wild birds",1
2021-12-09,"Italy","H5N1","Farm",7
2021-12-09,"Ireland","H5N1","Wild birds",3
2021-12-09,"Hungary","H5N1","Farm",1
2021-12-09,"Greece","H5N1","Wild birds",1
2021-12-09,"Germany","H5N1","Backyard",1
2021-12-09,"Germany","H5N1","Wild birds",6
2021-12-10,"Poland","H5N1","Farm",1
2021-12-10,"Italy","H5N1","Backyard",1
2021-12-10,"Italy","H5N1","Farm",8
2021-12-10,"Hungary","H5N1","Farm",2
2021-12-10,"Germany","H5N1","Wild birds",1
2021-12-10,"France","H5N1","Farm",1
2021-12-10,"France","H5N1","Wild birds",1
2021-12-11,"Italy","H5N1","Farm",6
2021-12-11,"Germany","H5N1","Farm",1
2021-12-12,"Poland","H5N1","Farm",1
2021-12-12,"Poland","H5N1","Wild birds",1
2021-12-12,"Italy","H5N1","Farm",2
2021-12-12,"Italy","H5N1","Wild birds",1
2021-12-12,"Ireland","H5N1","Farm",1
2021-12-12,"Hungary","H5N1","Farm",1
2021-12-12,"Germany","H5N1","Farm",1
2021-12-12,"Germany","H5N1","Wild birds",1
2021-12-12,"Ukraine","H5","Captive birds",1
2021-12-13,"The Netherlands","H5N1","Captive birds",1
2021-12-13,"The Netherlands","H5N1","Wild birds",1
2021-12-13,"Sweden","H5N1","Farm",1
2021-12-13,"Norway","H5N1","Wild birds",1
2021-12-13,"Luxembourg","H5N1","Wild birds",1
2021-12-13,"Italy","H5N1","Farm",3
2021-12-13,"Hungary","H5N1","Farm",2
2021-12-13,"Germany","H5N1","Wild birds",2
2021-12-13,"Austria","H5N1","Wild birds",2
2021-12-13,"The Netherlands","H5","Wild birds",7
2021-12-14,"Poland","H5N1","Farm",2
2021-12-14,"Italy","H5N1","Farm",16
2021-12-14,"Hungary","H5N1","Farm",1
2021-12-14,"Italy","H5","Wild birds",1
2021-12-15,"Northern Ireland","H5N1","Wild birds",1
2021-12-15,"Italy","H5N1","Farm",8
2021-12-15,"Hungary","H5N1","Farm",3
2021-12-15,"Hungary","H5N1","Wild birds",1
2021-12-15,"Germany","H5N1","Farm",1
2021-12-15,"Germany","H5N1","Wild birds",4
2021-12-15,"Austria","H5N1","Wild birds",3
2021-12-15,"The Netherlands","H5","Wild birds",1
2021-12-16,"Poland","H5N1","Farm",1
2021-12-16,"Northern Ireland","H5N1","Farm",2
2021-12-16,"Italy","H5N1","Farm",7
2021-12-16,"Italy","H5N1","Wild birds",1
2021-12-16,"Ireland","H5N1","Wild birds",1
2021-12-16,"Hungary","H5N1","Farm",2
2021-12-16,"Germany","H5N1","Wild birds",6
2021-12-16,"France","H5N1","Captive birds",1
2021-12-16,"France","H5N1","Farm",2
2021-12-16,"Denmark","H5N1","Wild birds",1
2021-12-16,"Czech Republic","H5N1","Backyard",1
2021-12-16,"Belgium","H5N1","Wild birds",2
2021-12-17,"Sweden","H5N1","Captive birds",1
2021-12-17,"Sweden","H5N1","Farm",1
2021-12-17,"Sweden","H5N1","Wild birds",1
2021-12-17,"Poland","H5N1","Farm",2
2021-12-17,"Italy","H5N1","Farm",7
