"n","ADIS Reference","Region","Code region","Province","Code province","Abbreviation province","Latitude","Longitude","Species","HPAI strain","Confirmation date","Extinction date","Measures Protection Zone in force until","Measures Surveillance Zone in force until"
87,"IT-HPAI(P)-2021-00093","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Meat turkey","H5N1",2021-11-24,2021-12-01,2021-12-22,2021-12-31
88,"IT-HPAI(P)-2021-00094","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Laying hen","H5N1",2021-11-23,2021-12-12,2022-01-21,2022-01-30
89,"IT-HPAI(P)-2021-00095","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Broiler","H5N1",2021-11-23,2021-12-08,2022-01-21,2022-01-30
90,"IT-HPAI(P)-2021-00096","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Pheasant","H5N1",2021-11-23,2021-12-05,2022-01-21,2022-01-30
91,"IT-HPAI(P)-2021-00097","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Meat turkey","H5N1",2021-11-24,2021-11-27,2022-01-21,2022-01-30
92,"IT-HPAI(P)-2021-00098","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Guinea fowl","H5N1",2021-11-24,2021-12-12,2022-01-21,2022-01-30
93,"IT-HPAI(P)-2021-00099","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Guinea fowl","H5N1",2021-11-24,2021-12-12,2022-01-21,2022-01-30
94,"IT-HPAI(P)-2021-00100","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-24,2021-12-17,2022-01-21,2022-01-30
95,"IT-HPAI(P)-2021-00101","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-11-24,2021-12-14,2022-01-20,2022-01-29
96,"IT-HPAI(P)-2021-00102","LOMBARDIA",3,"CREMONA",19,"CR",45.13336675,10.02420865,"Broiler","H5N1",2021-11-25,2021-12-05,2021-12-26,2022-01-04
97,"IT-HPAI(P)-2021-00103","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-11-25,2021-12-18,2022-01-21,2022-01-30
98,"IT-HPAI(P)-2021-00104","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Chicken breeder","H5N1",2021-11-25,2021-12-23,2022-01-13,2022-01-22
99,"IT-HPAI(P)-2021-00105","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Meat turkey","H5N1",2021-11-25,2021-12-06,2022-01-18,2022-01-27
100,"IT-HPAI(P)-2021-00106","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-25,2021-12-22,2022-01-25,2022-02-03
101,"IT-HPAI(P)-2021-00107","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Quail","H5N1",2021-11-26,2021-12-16,2022-01-21,2022-01-30
102,"IT-HPAI(P)-2021-00108","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-11-26,2021-12-23,2022-01-13,2022-01-22
103,"IT-HPAI(P)-2021-00109","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-11-26,2021-12-22,2022-01-30,2022-02-08
104,"IT-HPAI(P)-2021-00110","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Laying hen","H5N1",2021-11-27,2022-01-19,2022-02-09,2022-02-18
105,"IT-HPAI(P)-2021-00111","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Laying hen","H5N1",2021-11-27,2021-12-31,2022-01-21,2022-01-30
106,"IT-HPAI(P)-2021-00112","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Broiler","H5N1",2021-11-28,2021-12-14,2022-01-21,2022-01-30
107,"IT-HPAI(P)-2021-00113","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Broiler","H5N1",2021-11-28,2021-12-11,2022-01-21,2022-01-30
108,"IT-HPAI(P)-2021-00114","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Broiler","H5N1",2021-11-28,2021-12-13,2022-01-26,2022-02-04
109,"IT-HPAI(P)-2021-00115","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-11-28,2021-12-18,2022-01-18,2022-01-27
110,"IT-HPAI(P)-2021-00116","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-11-28,2021-12-19,2022-01-29,2022-02-07
111,"IT-HPAI(P)-2021-00117","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Broiler","H5N1",2021-11-26,2021-12-24,2022-01-26,2022-02-04
112,"IT-HPAI(P)-2021-00118","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Meat turkey","H5N1",2021-11-29,2021-12-18,2022-01-21,2022-01-30
113,"IT-HPAI(P)-2021-00119","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-29,2022-01-04,2022-01-27,2022-02-05
114,"IT-HPAI(P)-2021-00120","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-29,2021-12-21,2022-01-30,2022-02-08
115,"IT-HPAI(P)-2021-00121","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-29,2021-12-22,2022-01-21,2022-01-30
116,"IT-HPAI(P)-2021-00122","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-29,2021-12-22,2022-01-21,2022-01-30
117,"IT-HPAI(P)-2021-00123","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-11-29,2021-12-30,2022-02-11,2022-02-20
118,"IT-HPAI(P)-2021-00124","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-22,2021-12-14,2022-01-30,2022-02-08
119,"IT-HPAI(P)-2021-00125","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-22,2021-12-14,2022-01-30,2022-02-08
120,"IT-HPAI(P)-2021-00126","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Guinea fowl","H5N1",2021-11-26,2021-12-29,2022-01-30,2022-02-08
121,"IT-HPAI(P)-2021-00127","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Laying hen","H5N1",2021-11-26,2021-12-30,2022-01-25,2022-02-03
122,"IT-HPAI(P)-2021-00128","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Broiler","H5N1",2021-11-30,2021-12-15,2022-01-21,2022-01-30
123,"IT-HPAI(P)-2021-00129","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Laying hen","H5N1",2021-11-30,2021-12-23,2022-01-29,2022-02-07
124,"IT-HPAI(P)-2021-00130","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Broiler","H5N1",2021-11-30,2021-12-20,2022-01-26,2022-02-04
125,"IT-HPAI(P)-2021-00131","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Laying hen","H5N1",2021-11-30,2021-12-29,2022-01-25,2022-02-03
126,"IT-HPAI(P)-2021-00132","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Pullet","H5N1",2021-11-30,2022-01-06,2022-01-30,2022-02-08
127,"IT-HPAI(P)-2021-00133","FRIULI-VENEZIA GIULIA",6,"UDINE",30,"UD",46.06255516,13.2348383,"Broiler","H5N1",2021-11-30,2021-12-11,2022-01-01,2022-01-10
128,"IT-HPAI(P)-2021-00134","LOMBARDIA",3,"CREMONA",19,"CR",45.13336675,10.02420865,"Meat turkey","H5N1",2021-12-01,2021-12-10,2021-12-31,2022-01-09
129,"IT-HPAI(P)-2021-00135","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Laying hen","H5N1",2021-12-01,2022-01-25,2022-02-15,2022-02-24
130,"IT-HPAI(P)-2021-00136","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Ducks","H5N1",2021-12-01,2021-12-08,2021-12-30,2022-01-08
131,"IT-HPAI(P)-2021-00137","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Multispecies/rural","H5N1",2021-12-01,2021-12-07,2022-01-25,2022-02-03
132,"IT-HPAI(P)-2021-00138","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-01,2021-12-22,2022-01-30,2022-02-08
133,"IT-HPAI(P)-2021-00139","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Meat turkey","H5N1",2021-12-01,2021-12-22,2022-01-12,2022-01-21
134,"IT-HPAI(P)-2021-00140","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Multispecies/rural","H5N1",2021-12-01,2021-12-29,2022-01-19,2022-01-28
135,"IT-HPAI(P)-2021-00141","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-02,2021-12-24,2022-01-21,2022-01-30
136,"IT-HPAI(P)-2021-00142","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-12-02,2021-12-25,2022-01-20,2022-01-29
137,"IT-HPAI(P)-2021-00143","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Broiler","H5N1",2021-12-02,2021-12-16,2022-01-26,2022-02-04
138,"IT-HPAI(P)-2021-00144","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Meat turkey","H5N1",2021-12-02,2021-12-18,2022-01-21,2022-01-30
139,"IT-HPAI(P)-2021-00145","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Meat turkey","H5N1",2021-12-02,2021-12-17,2022-02-02,2022-02-11
140,"IT-HPAI(P)-2021-00146","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Broiler","H5N1",2021-12-01,2021-12-18,2022-01-21,2022-01-30
141,"IT-HPAI(P)-2021-00147","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Ducks","H5N1",2021-12-02,2021-12-09,2021-12-31,2022-01-09
142,"IT-HPAI(P)-2021-00148","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Broiler","H5N1",2021-12-04,2021-12-09,2021-12-31,2022-01-09
143,"IT-HPAI(P)-2021-00149","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-12-03,2021-12-31,2022-01-21,2022-01-30
144,"IT-HPAI(P)-2021-00150","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Pullet","H5N1",2021-12-03,2021-12-31,2022-01-21,2022-01-30
145,"IT-HPAI(P)-2021-00151","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-12-03,2022-01-21,2022-02-11,2022-02-20
146,"IT-HPAI(P)-2021-00152","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-12-03,2021-12-19,2022-01-21,2022-01-30
147,"IT-HPAI(P)-2021-00153","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-03,2021-12-24,2022-01-21,2022-01-30
