"Confirmed date","Country","Lat","Long","HPAI strain","WOAH Classification","Cases"
2021-12-04,"Hungary",47.1625,19.5033,"H5N1","Wild birds","1"
2021-12-05,"Italy",41.87194,12.56738,"H5N1","Farm","1"
2021-12-05,"Hungary",47.1625,19.5033,"H5N1","Farm","1"
2021-12-06,"Sweden",60.128161,18.643501,"H5N1","Wild birds","1"
2021-12-06,"Poland",51.9194,19.1451,"H5N1","Farm","2"
2021-12-06,"Italy",41.87194,12.56738,"H5N1","Backyard","1"
2021-12-06,"Italy",41.87194,12.56738,"H5N1","Farm","12"
2021-12-06,"Germany",51.165691,10.451526,"H5N1","Farm","1"
2021-12-06,"Germany",51.165691,10.451526,"H5N1","Wild birds","7"
2021-12-06,"France",46.2276,2.2137,"H5N1","Farm","1"
2021-12-06,"Denmark",56.2639,9.5018,"H5N1","Wild birds","3"
2021-12-07,"Poland",51.9194,19.1451,"H5N1","Farm","3"
2021-12-07,"Northern Ireland",53.1424,-7.6921,"H5N1","Backyard","1"
2021-12-07,"Northern Ireland",53.1424,-7.6921,"H5N1","Farm","1"
2021-12-07,"Italy",41.87194,12.56738,"H5N1","Farm","11"
2021-12-07,"Ireland",53.1424,-7.6921,"H5N1","Farm","1"
2021-12-07,"Hungary",47.1625,19.5033,"H5N1","Farm","1"
2021-12-07,"Germany",51.165691,10.451526,"H5N1","Wild birds","1"
2021-12-07,"France",46.2276,2.2137,"H5N1","Farm","3"
2021-12-07,"France",46.2276,2.2137,"H5N1","Wild birds","4"
2021-12-08,"The Netherlands",52.1326,5.2913,"H5N1","Wild birds","4"
2021-12-08,"Italy",41.87194,12.56738,"H5N1","Farm","2"
2021-12-08,"Italy",41.87194,12.56738,"H5N1","Wild birds","1"
2021-12-08,"Hungary",47.1625,19.5033,"H5N1","Farm","2"
2021-12-08,"Germany",51.165691,10.451526,"H5N1","Farm","1"
2021-12-08,"Germany",51.165691,10.451526,"H5N1","Wild birds","18"
2021-12-08,"Denmark",56.2639,9.5018,"H5N1","Wild birds","1"
2021-12-08,"Belgium",50.8333,44.69936,"H5N1","Farm","2"
2021-12-08,"Belgium",50.8333,44.69936,"H5N1","Wild birds","1"
2021-12-08,"The Netherlands",52.1326,5.2913,"H5","Wild birds","3"
2021-12-09,"Romania",45.9432,24.9668,"H5N1","Wild birds","1"
2021-12-09,"Northern Ireland",53.1424,-7.6921,"H5N1","Wild birds","1"
2021-12-09,"Italy",41.87194,12.56738,"H5N1","Farm","7"
2021-12-09,"Ireland",53.1424,-7.6921,"H5N1","Wild birds","3"
2021-12-09,"Hungary",47.1625,19.5033,"H5N1","Farm","1"
2021-12-09,"Greece",39.0742,21.8243,"H5N1","Wild birds","1"
2021-12-09,"Germany",51.165691,10.451526,"H5N1","Backyard","1"
